Tag;Datum;Zeit;Home;Away;Resultat;Drittel;OT/SO;Status;Versch.;Stadion;Zus.;TV/Online;Id;Liga;Region;Phase
Mi;14.01.2026;19:45;EV Zug;HC Lugano; 2:3; 0:1|1:2|1:0;;Ende;False;OYM hall, 6303 Zug;6930;MYSPORTS;20261105000217;NL;CH;Regular Season
Mi;14.01.2026;19:45;Lausanne HC;Genève-Servette HC; 0:3; 0:0|0:2|0:1;;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;9600;MYSPORTS;20261105000307;NL;CH;Regular Season
Do;15.01.2026;20:00;EHC Biel-Bienne;HC Ambri-Piotta; 3:2; 1:0|1:1|0:1|1:0;OT;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;5817;MYSPORTS,TV24,3PLUS;20261105000275;NL;CH;Regular Season
Fr;16.01.2026;19:45;SC Bern;HC Lugano; 1:4; 0:2|0:1|1:1;;Ende;False;PostFinance Arena, 3014 Bern BE;14854;MYSPORTS;20261105000274;NL;CH;Regular Season
Fr;16.01.2026;19:45;EHC Kloten;Lausanne HC; 2:3; 0:0|1:1|1:1|0:1;OT;Ende;False;SWISS Arena, 8302 Kloten ZH;4467;MYSPORTS;20261105000277;NL;CH;Regular Season
Fr;16.01.2026;19:45;SC Rapperswil-Jona Lakers;ZSC Lions; 1:3; 0:1|0:0|1:2;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;6100;MYSPORTS,TV24,3PLUS;20261105000278;NL;CH;Regular Season
Fr;16.01.2026;19:45;SCL Tigers;Genève-Servette HC; 3:0; 0:0|1:0|2:0;;Ende;False;emmental versicherung arena , 3550 Langnau i. E. BE;5820;MYSPORTS;20261105000279;NL;CH;Regular Season
Fr;16.01.2026;19:45;EV Zug;HC Ajoie; 2:4; 1:0|1:3|0:1;;Ende;False;OYM hall, 6303 Zug;7251;MYSPORTS;20261105000280;NL;CH;Regular Season
Sa;17.01.2026;19:45;HC Ajoie;HC Davos; 2:5; 0:0|1:2|1:3;;Ende;False;Raiffeisen Arena, 2900 Porrentruy JU;4391;MYSPORTS;20261105000281;NL;CH;Regular Season
Sa;17.01.2026;19:45;HC Ambri-Piotta;EHC Kloten; 2:5; 2:2|0:2|0:1;;Ende;False;Gottardo Arena, 6775 Ambri TI;6495;MYSPORTS;20261105000282;NL;CH;Regular Season
Sa;17.01.2026;19:45;Fribourg-Gottéron;EHC Biel-Bienne; 6:1; 2:0|0:1|4:0;;Ende;False;BCF Arena, 1700 Fribourg FR;9372;MYSPORTS;20261105000283;NL;CH;Regular Season
Sa;17.01.2026;19:45;Genève-Servette HC;EV Zug; 4:1; 1:0|3:1|0:0;;Ende;False;Les Vernets, 1227 Les Acacias GE;7135;MYSPORTS;20261105000284;NL;CH;Regular Season
Sa;17.01.2026;19:45;ZSC Lions;SC Bern; 3:4; 0:1|1:1|2:1|0:1;OT;Ende;False;Swiss Life Arena, 8048 Zürich ZH;12000;MYSPORTS;20261105000287;NL;CH;Regular Season
So;18.01.2026;15:45;HC Lugano;SCL Tigers; 4:3; 1:0|1:1|1:2|1:0;SO;Ende;False;Cornèr Arena, 6948 Porza Ti;6233;MYSPORTS;20261105000285;NL;CH;Regular Season
So;18.01.2026;15:45;Lausanne HC;SC Rapperswil-Jona Lakers; 3:4; 0:0|2:2|1:1|0:1;OT;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;9600;MYSPORTS;20261105000286;NL;CH;Regular Season
Fr;23.01.2026;19:45;HC Ambri-Piotta;ZSC Lions; 2:4; 1:1|1:0|0:3;;Ende;False;Gottardo Arena, 6775 Ambri TI;6500;MYSPORTS,TV24,3PLUS;20261105000288;NL;CH;Regular Season
Fr;23.01.2026;19:45;Fribourg-Gottéron;HC Lugano; 3:2; 1:0|0:1|1:1|1:0;SO;Ende;False;BCF Arena, 1700 Fribourg FR;9372;MYSPORTS;20261105000290;NL;CH;Regular Season
Fr;23.01.2026;19:45;EHC Kloten;EV Zug; 1:2; 0:0|0:0|1:2;;Ende;False;SWISS Arena, 8302 Kloten ZH;5031;MYSPORTS;20261105000291;NL;CH;Regular Season
Fr;23.01.2026;19:45;Lausanne HC;EHC Biel-Bienne; 2:1; 0:1|1:0|0:0|1:0;OT;Ende;False;Vaudoise Aréna, 1008 Lausanne VD;9600;MYSPORTS;20261105000292;NL;CH;Regular Season
Fr;23.01.2026;19:45;SC Rapperswil-Jona Lakers;SC Bern; 0:2; 0:0|0:1|0:1;;Ende;False;St.Galler Kantonalbank Arena, 8640 Rapperswil SG;5560;MYSPORTS;20261105000293;NL;CH;Regular Season
Fr;23.01.2026;19:45;SCL Tigers;HC Ajoie; 2:3; 0:0|2:1|0:1|0:1;OT;Ende;False;emmental versicherung arena , 3550 Langnau i. E. BE;5905;MYSPORTS;20261105000294;NL;CH;Regular Season
Sa;24.01.2026;19:45;HC Ajoie;EHC Kloten; 4:2; 3:1|0:1|1:0;;Ende;False;Raiffeisen Arena, 2900 Porrentruy JU;4422;MYSPORTS;20261105000295;NL;CH;Regular Season
Sa;24.01.2026;19:45;SC Bern;Lausanne HC; 3:1; 0:0|2:1|1:0;;Ende;False;PostFinance Arena, 3014 Bern BE;16501;MYSPORTS;20261105000296;NL;CH;Regular Season
Sa;24.01.2026;19:45;EHC Biel-Bienne;SC Rapperswil-Jona Lakers; 5:4; 2:1|1:2|2:1;;Ende;False;Tissot Arena, 2504 Biel/Bienne BE;6033;MYSPORTS;20261105000297;NL;CH;Regular Season
Sa;24.01.2026;19:45;HC Lugano;HC Davos; 1:4; 0:0|0:2|1:2;;Ende;False;Cornèr Arena, 6948 Porza Ti;6614;MYSPORTS;20261105000299;NL;CH;Regular Season
Sa;24.01.2026;19:45;ZSC Lions;Fribourg-Gottéron; 3:4; 0:2|2:0|1:1|0:1;SO;Ende;False;Swiss Life Arena, 8048 Zürich ZH;12000;MYSPORTS;20261105000300;NL;CH;Regular Season
Sa;24.01.2026;19:45;EV Zug;SCL Tigers; 3:1; 1:0|0:1|2:0;;Ende;False;OYM hall, 6303 Zug;7429;MYSPORTS;20261105000301;NL;CH;Regular Season
